section,text,sub_section,decade
Politics and wars,"Major political changes
New Imperialism
The United Kingdom of Great Britain and Ireland and the French Third Republic sign Entente Cordiale

",Major political changes,1900s (decade)
Politics and wars,"Wars
Second Boer War ends.
Philippine–American War takes place (1899–1902).
The Kuwaiti–Rashidi war takes place (1900–1901).
Russo-Japanese War establishes the Empire of Japan as a world power.
Battle of Riyadh  was a minor battle of the Unification of Saudi Arabia.
Battle of Dilam was a major battle of the Unification War between Rashidi and Saudi rebels.
First Saudi–Rashidi War was engaged between the Saudi loyal forces of the newborn Emirate of Riyadh versus the Emirate of Ha'il.
The Ottomans invade Persia and capture a strip of territory (1906).

",Wars,1900s (decade)
Politics and wars,"Internal conflicts
The Boxer Rebellion ends.
The Russian Revolution of 1905.
The Mesopotamia uprising of 1906.
Demand for Home Rule for Ireland.
Herero and Namaqua Genocide in German South-West Africa (modern Namibia).
Kurdish uprising in Bitlis against the Ottoman Empire in 1907.

",Internal conflicts,1900s (decade)
Politics and wars,"Colonization
January 1, 1901, British colonies in Australia federate, forming the Commonwealth of Australia.

",Colonization,1900s (decade)
Politics and wars,"Decolonization
May 20, 1902 – Cuba gains independence from the United States.
June 7, 1905 – The Norwegian Parliament declares the union with Sweden dissolved, and Norway achieves full independence.
October 5, 1908 – Bulgaria declares its independence from the Ottoman Empire.

",Decolonization,1900s (decade)
Politics and wars,"Prominent political events
",Prominent political events,1900s (decade)
Disasters,"Natural disasters
September 8, 1900 – A powerful hurricane hits Galveston, Texas, USA killing about 8,000.
April 19, 1902 – A magnitude 7.5 earthquake rocks Guatemala, killing 2,000.
May 8, 1902 – In Martinique, Mount Pelée erupts, destroying the town of Saint-Pierre and killing over 30,000.
April 7, 1906 – Mount Vesuvius erupts and devastates Naples.
April 18, 1906 – The 1906 San Francisco earthquake (estimated magnitude 7.8) on the San Andreas Fault destroys much of San Francisco, USA, killing at least 3,000, with 225,000–300,000 left homeless, and $350 million in damages.
September 18, 1906 – A typhoon and tsunami kill an estimated 10,000 in Hong Kong.
January 14, 1907 – An earthquake in Kingston, Jamaica kills more than 1,000.
June 30, 1908 – The Tunguska event or ""Russian explosion"" near the Podkamennaya Tunguska River in Krasnoyarsk Krai, Siberia, Russian Empire occuers resulting in the flattening 2,000 km2 (770 sq mi) of forest. It is believed to have been caused by the air burst of a large meteoroid or comet fragment, at an altitude of 5–10 kilometres (3–6 mi) above the Earth's surface.
December 28, 1908 – An earthquake and tsunami destroys Messina, Sicily and Calabria, killing over 150,000 people.

",Natural disasters,1900s (decade)
Disasters,"Non-natural disasters
April 26, 1900 – The Great Lumber Fire of Ottawa–Hull kills 7 and leaves 15,000 homeless.
May 1, 1900 – The Scofield Mine disaster in Scofield, Utah caused by explosion killing at least 200 men.
June 30, 1900 – Hoboken Docks Fire: The German passenger ships Saale, Main, Bremen, and Kaiser William der Grosse, all owned by the North German Lloyd Steamship line, catch fire at the docks in Hoboken, New Jersey, USA  . The fire began on a wharf and spread to the adjacent piers, warehouses, and smaller craft, killing 326 people.
May 3, 1901 – The Great Fire of 1901 begins in Jacksonville, FL, USA .
July 10, 1902 – The Rolling Mill Mine disaster in Johnstown, Pennsylvania, USA, kills 112 miners.
August 10, 1903 – Paris Métro train fire.
December 30, 1903 – A fire at the Iroquois Theater in Chicago, USA kills 600.
February 7, 1904 – The Great Baltimore Fire in Baltimore, USA destroys over 1,500 buildings in 30 hours.
June 15, 1904 – A fire aboard the steamboat General Slocum in New York City's East River kills 1,021.
June 28, 1904 – The Danish ocean liner SS Norge runs aground and sinks close to Rockall, killing 635, including 225 Norwegian emigrants.
January 22, 1906 – The SS Valencia strikes a reef off Vancouver Island, Canada, killing over 100 (officially 136) in the ensuing disaster.

",Non-natural disasters,1900s (decade)
Assassinations and attempts,"Assassinations and attempts
Prominent assassinations, targeted killings, and assassination attempts include:

July 29, 1900 – King Umberto I of Italy is assassinated by Italian-born anarchist Gaetano Bresci.
March 6, 1901 – In Bremen, an assassin attempts to kill Wilhelm II of Germany.
September 6, 1901 – American anarchist Leon Czolgosz shoots U.S. President William McKinley at the Pan-American Exposition in Buffalo, New York. McKinley dies 8 days later.
June 16, 1904 – Eugen Schauman assassinates Nikolai Bobrikov, Governor-General of Finland.
February 1, 1908 – Carlos I of Portugal is assassinated in Lisbon, Portugal.
October 26, 1909 – Itō Hirobumi, four time Prime Minister of Japan (the 1st, 5th, 7th and 10th) and Resident-General of Korea, is assassinated by Ahn Jung-geun at the Harbin train station in Manchuria.

",Assassinations and attempts,1900s (decade)
Economics,"Economics
The cost of an American postage stamp was worth 1 cent.

",Economics,1900s (decade)
