decade,summary
1900s (decade),"The 1900s (pronounced ""nineteen-hundreds"") was a decade of the Gregorian calendar that began on January 1, 1900, and ended on December 31, 1909. It was the first decade of the 20th century
The term ""nineteen-hundreds"" is often also used to mean the entire century of years from 1900 to 1999 (see 1900s). The Edwardian era (1901–1910) covers a similar span of time.
The decade saw the widespread application of the internal combustion engine including mass production of the automobile, as well as the introduction of the typewriter. The Wright Flyer performed the first recorded controlled, powered, sustained heavier than air flight on December 17, 1903. Reginald Fessenden of East Bolton, Quebec, Canada made what appeared to be the first audio radio broadcasts of entertainment and music ever made to a general audience. 
First-wave feminism saw progress, with universities being opened for women in Japan, Bulgaria, Cuba, Russia, and Peru. In 1906, Finland granted women the right vote, the first European country to do so. The foundation of the Women's Social and Political Union by Emmeline Pankhurst in 1903 led to the rise of the Suffragettes in Great Britain and Ireland. Cuba, Bulgaria, and Norway became independent. The First Moroccan and Bosnian crises led to worsened tensions in Europe that would ultimately lead to the First World War in the next decade.
Wars of this decade included the Philippine–American War, the Second Boer War, the Thousand Days' War, the Anglo-Somali War, the Kuwaiti–Rashidi war, the Saudi–Rashidi War, the Russo-Japanese War, and the Honduran-Nicaraguan War. The Scramble for Africa continued, with the Orange Free State, South African Republic, Ashanti Empire, Aro Confederacy, Sokoto Caliphate and Kano Emirate being conquered by the British Empire, alongside the French Empire conquering Borno, the German Empire conquering the Adamawa Emirate, and the Portuguese Empire conquering the Ovambo. Atrocities in the Congo Free State were committed by private companies and the Force Publique, with a resultant population decline of 1 to 15 million. The Herero and Namaqua genocide saw 24,000 to 100,000 Hereros and 10,000 Namaqua killed by German colonial forces. The Adana massacre of 1909 saw up to 30,000 mainly Armenian civilians being massacred by local Ottoman Muslims.
Failed uprisings and revolutions that took place included the Boxer Rebellion, the Bailundo revolt, the Ilinden–Preobrazhenie Uprising, the 1904 Sasun uprising, the Uruguayan Revolution of 1904, an uprising in French Madagascar, the Russian Revolution of 1905, the Argentine Revolution of 1905, the Persian Constitutional Revolution, the Maji Maji Rebellion, and the 1907 Romanian Peasants' revolt. A more successful revolution took place in the Ottoman Empire, where the Young Turks movement restored the Ottoman constitution of 1876, establishing the Second Constitutional Era.
Major disasters in this decade included the Chinese famine of 1907, the 1908 Messina earthquake, the San Francisco earthquake and fire and the Great Baltimore Fire. The first huge success of American cinema, as well as the largest experimental achievement to this point, was the 1903 film The Great Train Robbery, directed by Edwin S. Porter, while the world's first feature film, The Story of the Kelly Gang, was released on 26 December 1906 in Melbourne, Australia. Popular books of this decade included Anne of Green Gables (1908) and The Tale of Peter Rabbit (1902), which sold 50 million and 45 million copies respectively."
1910s,"The 1910s (pronounced ""nineteen-teens"", commonly abbreviated as the ""Teens"") was a decade of the Gregorian calendar that began on January 1, 1910, and ended on December 31, 1919. It was the second decade of the 20th century
The 1910s represented the culmination of European militarism which had its beginnings during the second half of the 19th century. The conservative lifestyles during the first half of the decade, as well as the legacy of military alliances, was forever changed by the assassination, on June 28, 1914, of Archduke Franz Ferdinand, the heir presumptive to the Austro-Hungarian throne. The murder triggered a chain of events in which, within 33 days, World War I broke out in Europe on August 1, 1914. The conflict dragged on until a truce was declared on November 11, 1918, leading to the controversial, one-sided Treaty of Versailles, which was signed on June 28, 1919.
The war's end triggered the abdication of various monarchies and the collapse of five of the last modern empires of Russia, Germany, China, Ottoman Turkey and Austria-Hungary, with the latter splintered into  Austria, Hungary, southern Poland (who acquired most of their land in a war with Soviet Russia), Czechoslovakia and Yugoslavia, as well as the unification of Romania with Transylvania and Moldavia. However, each of these states (with the possible exception of Yugoslavia) had large German and Hungarian minorities, creating some unexpected problems that would be brought to light in the next two decades. (See Dissolution of Austro-Hungarian Empire: Successor States for better description of composition of names of successor countries/states following the splinter.)
The decade was also a period of revolution in a number of countries. The Portuguese 5 October 1910 revolution, which ended the eight-century long monarchy, spearheaded the trend, followed by the Mexican Revolution in November 1910, which led to the ousting of dictator Porfirio Diaz, developing into a violent civil war that dragged on until mid-1920, not long after a new Mexican Constitution was signed and ratified. The Russian Empire also had a similar fate, since its participation on World War I led it to a social, political and economical collapse which made the tsarist autocracy unsustainable and, as a following of the events of 1905, culminated in the Russian Revolution and the establishment of the Russian Soviet Federative Socialist Republic, under the direction of the  Bolshevik Party later renamed as Communist Party of the Soviet Union. The Russian Revolution of 1917, known as the October Revolution, was followed by the Russian Civil War, which dragged on until approximately late 1922.
Much of the music in these years was ballroom-themed. Many of the fashionable restaurants were equipped with dance floors. Prohibition in the United States began January 16, 1919, with the ratification of the Eighteenth Amendment to the U.S. Constitution."
1920s,"The 1920s (pronounced ""nineteen-twenties"") was a decade of the Gregorian calendar that began on January 1, 1920, and ended on December 31, 1929. It was the third decade of the 20th century.
In North America, it is frequently referred to as the ""Roaring Twenties"" or the ""Jazz Age"", while in Europe the period is sometimes referred to as the ""Golden Age Twenties"" because of the economic boom following World War I. French speakers refer to the period as the ""Années folles"" (""Crazy Years""), emphasizing the era's social, artistic, and cultural dynamism.
The economic prosperity experienced by many countries during the 1920s (especially the United States) was similar in nature to that experienced in the 1950s and 1990s. Each period of prosperity was the result of a paradigm shift in global affairs. These shifts in the 1920s, 1950s, and 1990s, occurred in part as the result of the conclusion of World War I and Spanish flu, World War II, and the Cold War, respectively.
The 1920s saw foreign oil companies begin operations throughout South America. Venezuela became the world's second largest oil producing nation.In some countries the 1920s saw the rise of radical political movements, especially in regions that were once part of empires. Communism spread as a consequence of the October Revolution and the Bolsheviks' victory in the Russian Civil War. Fear of the spread of Communism led to the emergence of far right political movements and fascism in Europe. Economic problems contributed to the emergence of dictators in Eastern Europe and the Balkans, to include Józef Piłsudski in the Second Polish Republic, and Peter and Alexander Karađorđević in the Kingdom of Yugoslavia.
The devastating Wall Street Crash in October 1929 is generally viewed as a harbinger of the end of 1920s prosperity in North America and Europe."
1930s,"The 1930s (pronounced ""nineteen-thirties"", commonly abbreviated as the ""Thirties"") was a decade of the Gregorian calendar that began on January 1, 1930, and ended on December 31, 1939. It was the fourth decade of the 20th century.
The decade was defined by a global economic and political crisis that culminated in the Second World War. It saw the international financial system collapse, beginning with the Wall Street Crash of 1929, the largest stock market crash in American history, and an economic downfall called the Great Depression that had a traumatic effect worldwide, leading to widespread unemployment and poverty, especially in the United States, an economic superpower, and Germany, who had to deal with the reparations regarding World War I. The Dust Bowl (which gives the nickname the Dirty Thirties) in the United States further emphasised the scarcity of wealth. Herbert Hoover worsened the situation with his failed attempt to balance the budget by taxes. Franklin D. Roosevelt was elected, as a response, in 1933, and introduced the New Deal. The founding of the Civilian Conservation Corps (CCC) and the funding of numerous projects (e.g. the Hoover Dam) helped restore prosperity in the US.
The decade also saw the rapid retreat of Liberal democracy, as authoritarian regimes emerged in countries across Europe and South America, in particular the Third Reich in Germany. Germany elected Adolf Hitler, who imposed the Nuremberg Laws, a series of laws which discriminated against Jews and other ethnic minorities. Weaker states such as Ethiopia, China, and Poland were invaded by expansionist world powers, the last of these attacks leading to the outbreak of World War II on September 1, 1939, despite calls from the League of Nations for worldwide peace. World War II helped end the Great Depression when governments spent money for the war effort. The 1930s also saw a proliferation of new technologies, especially in the fields of intercontinental aviation, radio, and film."
1940s,"The 1940s (pronounced ""nineteen-forties"" and commonly abbreviated as the ""Forties"") was a decade of the Gregorian calendar that began on January 1, 1940, and ended on December 31, 1949. It was the fifth decade of the 20th century.
Most of World War II took place in the first half of the decade, which had a profound effect on most countries and people in Europe, Asia, and elsewhere. The consequences of the war lingered well into the second half of the decade, with a war-weary Europe divided between the jostling spheres of influence of the Western world and the Soviet Union, leading to the beginning of the Cold War. To some degree internal and external tensions in the post-war era were managed by new institutions, including the United Nations, the welfare state, and the Bretton Woods system, facilitating the post–World War II economic expansion, which lasted well into the 1970s. The conditions of the post-war world encouraged decolonization and the emergence of new states and governments, with India, Pakistan, Israel, Vietnam, and others declaring independence, although rarely without bloodshed. The decade also witnessed the early beginnings of new technologies (such as computers, nuclear power, and jet propulsion), often first developed in tandem with the war effort, and later adapted and improved upon in the post-war era."
1950s,"The 1950s (pronounced nineteen-fifties; commonly abbreviated as the ""Fifties"" or the "" '50s"") (among other variants) was a decade of the Gregorian calendar that began on January 1, 1950, and ended on December 31, 1959. It was the sixth decade of the 20th century.
By its end, the world had largely recovered from World War II and the Cold War developed from its modest beginning in the late 1940s to a hot competition between the United States and the Soviet Union by the early-1960s.
Clashes between communism and capitalism dominated the decade, especially in the Northern Hemisphere. The conflicts included the Korean War in the beginnings of the decade and the beginning of the Space Race with the launch of Sputnik 1. Along with increased testing of nuclear weapons (such as RDS-37 and Upshot–Knothole), this created a politically conservative climate. In the United States, the Second Red Scare caused Congressional hearings by both houses in Congress and anti-communism was the prevailing sentiment in the United States throughout the decade. The beginning of decolonization in Africa and Asia took place in this decade and accelerated in the following decade."
1960s,"The 1960s (pronounced ""nineteen-sixties"", shortened to ""the '60s"" or ""the Sixties"") was a decade of the Gregorian calendar that began on January 1, 1960, and ended on December 31, 1969. It was the seventh decade of the 20th century.The ""cultural decade"" of the 1960s is more loosely-defined than the actual decade, beginning around 1963–1964 with the John F. Kennedy assassination and the Beatles' arrival in the United States, and ending around 1969–1970 with the Altamont Free Concert, the Beatles' breakup, and the Kent State shootings or with the withdrawal of troops from Vietnam and the resignation of U.S. President Nixon in 1974.
The term ""the Sixties"" is used by historians, journalists, and other academics in scholarship and popular culture to denote the complex of inter-related cultural and political trends around the globe during this era. Some use the term to describe the decade's counterculture and revolution in social norms about clothing, music, drugs, dress, sexuality, formalities, and schooling; others use it to denounce the decade as one of irresponsible excess, flamboyance, and decay of social order. The decade was also labeled the Swinging Sixties because of the fall or relaxation of social taboos that occurred during this time, but also because of the emergence of a wide range of music; from a folk music revival, to the Beatles revolution, to the introspective lyrics of Bob Dylan and Paul Simon. Norms of all kinds were broken down, especially in regards to civil rights and precepts of military duty.
Commentator Christopher Booker described this era as a classical Jungian nightmare cycle, where a rigid culture, unable to contain the demands for greater individual freedom, broke free of the social constraints of the previous age through extreme deviation from the norm. He charts the rise, success, fall/nightmare and explosion in the London scene of the 1960s. Several Western nations such as the United States, United Kingdom, France, and West Germany turned to the political left in the early and mid-1960s.
By the end of the 1950s, war-ravaged Europe had largely finished reconstruction and began a tremendous economic boom. World War II had brought about a huge leveling of social classes in which the remnants of the old feudal gentry disappeared. There was a major expansion of the middle class in western European countries and by the 1960s, many working-class people in Western Europe could afford a radio, television, refrigerator, and motor vehicle. Meanwhile, the East such as the Soviet Union and other Warsaw Pact countries were improving quickly after rebuilding from WWII. Real GDP growth averaged 6% a year during the second half of the decade. Thus, the overall worldwide economic trend in the 1960s was one of prosperity, expansion of the middle class, and the proliferation of new domestic technology.
The confrontation between the US and the Soviet Union dominated geopolitics during the '60s, with the struggle expanding into developing nations in Latin America, Africa, and Asia as the Soviet Union moved from being a regional to a truly global superpower and began vying for influence in the developing world. After President Kennedy's assassination, direct tensions between the US and Soviet Union cooled and the superpower confrontation moved into a contest for control of the Third World, a battle characterized by proxy wars, funding of insurgencies, and puppet governments.
In response to nonviolent direct action campaigns from groups like the Student Nonviolent Coordinating Committee (SNCC) and the Southern Christian Leadership Conference (SCLC), U.S. President John F. Kennedy, a Keynesian and staunch anti-communist, pushed for social reforms.  Kennedy's assassination in 1963 was a shock. Liberal reforms were finally passed under Lyndon B. Johnson including civil rights for African Americans and healthcare for the elderly and the poor. Despite his large-scale Great Society programs, Johnson was increasingly reviled by the New Left at home and abroad. The heavy-handed American role in the Vietnam War outraged student protestors around the globe.  The assassination of Martin Luther King Jr. upon working with underpaid Tennessee garbage collectors and the anti-Vietnam War movement, and the police response towards protesters of the 1968 Democratic National Convention, defined politics of violence in the United States.
In Western Europe and Japan, organizations such as those present at May 1968, the Red Army Faction, and the Zengakuren tested liberal democracy's ability to satisfy its marginalized or alienated citizenry amidst post-industrial age hybrid capitalist economies.  In Britain, the Labour Party gained power in 1964. In France, the protests of 1968 led to President Charles de Gaulle temporarily fleeing the country. For some, May 1968 meant the end of traditional collective action and the beginning of a new era to be dominated mainly by the so-called new social movements. Italy formed its first left-of-center government in March 1962 with a coalition of Christian Democrats, Social Democrats, and moderate Republicans. Socialists joined the ruling block in December 1963.  In Brazil, João Goulart became president after Jânio Quadros resigned.  In Africa the 1960s was a period of radical political change as 32 countries gained independence from their European colonial rulers."
1970s,"The 1970s (pronounced ""nineteen-seventies""; shortened to ""the '70s"") was a decade of the Gregorian calendar that began on January 1, 1970, and ended on December 31, 1979. It was the eighth decade of the 20th century.
In the 21st century, historians have increasingly portrayed the 1970s as a ""pivot of change"" in world history, focusing especially on the economic upheavals that followed the end of the postwar economic boom. In the Western world, social progressive values that began in the 1960s, such as increasing political awareness and economic liberty of women, continued to grow. In the United Kingdom, the 1979 election resulted in the victory of its Conservative leader Margaret Thatcher, the first female British Prime Minister. Industrialized countries, except Japan, experienced an economic recession due to an oil crisis caused by oil embargoes by the Organization of Arab Petroleum Exporting Countries. The crisis saw the first instance of stagflation which began a political and economic trend of the replacement of Keynesian economic theory with neoliberal economic theory, with the first neoliberal governments being created in Chile, where a military coup led by Augusto Pinochet took place in 1973.
Novelist Tom Wolfe coined the term "" 'Me' decade"" in his essay ""The 'Me' Decade and the Third Great Awakening"", published by New York Magazine in August 1976 referring to the 1970s. The term describes a general new attitude of Americans towards atomized individualism and away from communitarianism, in clear contrast with the 1960s.
In Asia, affairs regarding the People's Republic of China changed significantly following the recognition of the PRC by the United Nations, the death of Mao Zedong and the beginning of market liberalization by Mao's successors. Despite facing an oil crisis due to the OPEC embargo, the economy of Japan witnessed a large boom in this period, overtaking the economy of West Germany to become the second-largest in the world. The United States withdrew its military forces from their previous involvement in the Vietnam War, which had grown enormously unpopular. In 1979, the Soviet Union invaded Afghanistan, which led to an ongoing war for ten years.
The 1970s saw an initial increase in violence in the Middle East as Egypt and Syria declared war on Israel, but in the late 1970s, the situation in the Middle East was fundamentally altered when Egypt signed the Egyptian–Israeli Peace Treaty. Anwar Sadat, President of Egypt, was instrumental in the event and consequently became extremely unpopular in the Arab world and the wider Muslim world. Political tensions in Iran exploded with the Iranian Revolution in 1979, which overthrew the Pahlavi dynasty and established an authoritarian Islamic republic under the leadership of the Ayatollah Khomeini.
Africa saw further decolonization in the decade, with Angola and Mozambique gaining their independence in 1975 from the Portuguese Empire after the restoration of democracy in Portugal. The continent was, however, plagued by endemic military coups, with the long-reigning Emperor of Ethiopia Haile Selassie being removed, civil wars and famine.
The economies of much of the developing world continued to make steady progress in the early 1970s because of the Green Revolution. However, their economic growth was slowed by the oil crisis, although it boomed afterwards."
1980s,"The 1980s (pronounced ""nineteen-eighties"",  shortened to ""the '80s"") is a decade of the Gregorian calendar that began on January 1, 1980, and ended on December 31, 1989. It was the ninth decade of the 20th century.
The decade saw major socioeconomic change due to advances in technology and a worldwide move away from planned economies and towards laissez-faire capitalism.
As economic deconstruction increased in the developed world, multiple multinational corporations associated with the manufacturing industry relocated into Thailand, Mexico, South Korea, Taiwan, and China. Japan and West Germany saw large economic growth during this decade. The AIDS epidemic became recognized in the 1980s and has since killed an estimated 39 million people (as of 2013). Global warming became well known to the scientific and political community in the 1980s.
The United Kingdom and the United States moved closer to supply-side economic policies beginning a trend towards global instability of international trade that would pick up more steam in the following decade as the fall of the USSR made right wing economic policy more powerful.
The final decade of the Cold War opened with the US-Soviet confrontation continuing largely without any interruption. Superpower tensions escalated rapidly as President Reagan scrapped the policy of détente and adopted a new, much more aggressive stance on the Soviet Union. The world came perilously close to nuclear war for the first time since the Cuban Missile Crisis 20 years earlier, but the second half of the decade saw a dramatic easing of superpower tensions and ultimately the total collapse of Soviet communism.
Developing countries across the world faced economic and social difficulties as they suffered from multiple debt crises in the 1980s, requiring many of these countries to apply for financial assistance from the International Monetary Fund (IMF) and the World Bank. Ethiopia witnessed widespread famine in the mid-1980s during the corrupt rule of Mengistu Haile Mariam, resulting in the country having to depend on foreign aid to provide food to its population and worldwide efforts to address and raise money to help Ethiopians, such as the Live Aid concert in 1985.
Major civil discontent and violence occurred in the Middle East, including the Iran–Iraq War, the Soviet–Afghan War, the 1982 Lebanon War, the First Nagorno-Karabakh War, the Bombing of Libya in 1986, and the First Intifada in the Gaza Strip and the West Bank. Islamism became a powerful political force in the 1980s and many terrorist organizations, including Al Qaeda, started.
By 1986, nationalism was making a comeback in the Eastern Bloc and desire for democracy in communist-led socialist states combined with economic recession resulted in Mikhail Gorbachev's glasnost and perestroika, which reduced Communist Party power, legalized dissent and sanctioned limited forms of capitalism such as joint ventures with Western firms. After newly heated tension for most of the decade, by 1988 relations between the West and East had improved significantly and the Soviet Union was increasingly unwilling to defend its governments in satellite states.
1989 brought the overthrow and attempted overthrow of a number of governments led by communist parties, such as in Hungary, the Tiananmen Square protests of 1989 in China, the Czechoslovak ""Velvet Revolution"", Erich Honecker's East German regime, Poland's Soviet-backed government, and the violent overthrow of the Nicolae Ceauşescu regime in Romania. Destruction of the 155-km Berlin Wall, at the end of the decade, signalled a seismic geopolitical shift. The Cold War ended in the early 1990s with the successful Reunification of Germany and the USSR's demise after the August Coup of 1991.
The 1980s saw great advances in genetic and digital technology. After years of animal experimentation since 1985 the first genetic modification of 10 adult human beings took place in May 1989, a gene tagging experiment which led to the first true gene therapy implementation in September 1990. The first ""designer babies"", a pair of female twins were created in a laboratory in late 1989 and born in July 1990 after being sex-selected via the controversial assisted reproductive technology procedure preimplantation genetic diagnosis. Gestational surrogacy was first performed in 1985 with the first birth in 1986, making it possible for a woman to become a biological mother without experiencing pregnancy for the first time in history.The 1980s was also an era of tremendous population growth around the world, surpassing even the 1970s and 1990s, thus arguably being the largest in human history. Population growth was particularly rapid in a number of African, Middle Eastern, and South Asian countries during this decade, with rates of natural increase close to or exceeding 4% annually.
The 1980s saw the advent of the ongoing practice of sex-selective abortion in China and India as ultrasound technology permitted parents to selectively abort baby girls.The global Internet took shape in academia by the second half of the 1980s as well as many other computer networks of both academic and commercial use such as USENET, Fidonet and the Bulletin Board System. By 1989 the Internet and the networks linked to it were a global system with extensive transoceanic satellite links and nodes in most rich countries. Based on earlier work from 1980 onwards Tim Berners Lee formalized the concept of the World Wide Web by 1989 and performed its earliest demonstrations in December 1990 and 1991. Television viewing became commonplace in the Third World, with the number of TV sets in China and India increasing by 15 and 10 times respectively.Video game consoles released in this decade included the continuing popularity of Atari 2600, Intellivision, Vectrex, Colecovision, SG-1000, NES/Famicom, Sega Master System, PC Engine/TurboGrafx-16, Mega Drive/Genesis and Game Boy. Super Mario Bros. and Tetris were the decade's two best selling and most popular video games. 1980's Atari VCS port of Space Invaders was the first killer app. Pac-Man was the decade's highest grossing arcade game. Home computers in that decade include the Commodore 64, VIC-20, the Apple II series, the Atari 8-bit family, Atari ST, Amiga, ZX Spectrum and MSX. Apple Macintosh, Microsoft Windows and IBM PC compatible were also introduced in that decade and helped popularize personal computers."
1990s,"The 1990s (pronounced ""the nineteen-nineties""; shortened to ""the '90s"") was a decade of the Gregorian calendar that began on January 1, 1990, and ended on December 31, 1999.
The 1990s saw a rise in the awareness of multiculturalism, as well as the advance of alternative media. Movements such as grunge, the rave scene and hip hop spread around the world to young people during that decade, aided by then-new technology such as cable television and the World Wide Web.
A combination of factors, including the continued mass mobilization of capital markets through neo-liberalism, the thawing and end of the decades-long Cold War, the beginning of the widespread proliferation of new media such as the Internet from the middle of the decade onwards, increasing skepticism towards government, and the dissolution of the Soviet Union led to a realignment and reconsolidation of economic and political power across the world and within countries. The dot-com bubble of 1997–2000 brought wealth to some entrepreneurs before its crash between 2000 and 2001.
The 1990s saw extreme advances in technology, with the World Wide Web, the first gene therapy trial, and the first designer babies all emerging in 1990 and being improved and built upon throughout the decade.
New ethnic conflicts emerged in Africa, the Balkans, and the Caucasus, the former two which led to the Rwandan and Bosnian genocides, respectively. Signs of any resolution of tensions between Israel and the Arab world remained elusive despite the progress of the Oslo Accords, though The Troubles in Northern Ireland came to a standstill in 1998 with the Good Friday Agreement after 30 years of violence."
